Report Target;Ticket Date Create Day Label;Ticket Date Create Month Id;IWM Incident Count;IWM Request Count;IWM Change Count;IWM Problem Count
BARCHART;2018-02-27;2018M02;81;35;4;1
BARCHART;2018-02-26;2018M02;68;41;2;1
BARCHART;2018-02-25;2018M02;9;2;0;0
BARCHART;2018-02-24;2018M02;17;2;0;0
BARCHART;2018-02-23;2018M02;61;41;2;3
BARCHART;2018-02-22;2018M02;96;30;5;1
BARCHART;2018-02-21;2018M02;142;53;3;3
BARCHART;2018-02-20;2018M02;156;30;4;0
BARCHART;2018-02-19;2018M02;144;15;5;1
BARCHART;2018-02-18;2018M02;6;5;1;0
BARCHART;2018-02-17;2018M02;6;9;0;0
BARCHART;2018-02-16;2018M02;42;40;3;1
BARCHART;2018-02-15;2018M02;65;20;1;0
BARCHART;2018-02-14;2018M02;71;28;5;2
BARCHART;2018-02-13;2018M02;65;31;3;0
BARCHART;2018-02-12;2018M02;43;17;2;2
BARCHART;2018-02-11;2018M02;5;0;0;0
BARCHART;2018-02-10;2018M02;9;8;0;0
BARCHART;2018-02-09;2018M02;59;19;4;1
BARCHART;2018-02-08;2018M02;84;15;3;1
BARCHART;2018-02-07;2018M02;60;32;1;1
BARCHART;2018-02-06;2018M02;52;43;3;6
BARCHART;2018-02-05;2018M02;59;65;5;2
BARCHART;2018-02-04;2018M02;11;2;0;0
BARCHART;2018-02-03;2018M02;3;0;0;0
BARCHART;2018-02-02;2018M02;71;48;2;0
BARCHART;2018-02-01;2018M02;79;33;7;2
BARCHART;2018-01-31;2018M01;89;36;7;3
BARCHART;2018-01-30;2018M01;115;47;3;2
BARCHART;2018-01-29;2018M01;41;15;2;0
BARCHART;2018-01-28;2018M01;4;2;0;0
BARCHART;2018-01-27;2018M01;3;0;0;0
BARCHART;2018-01-26;2018M01;45;59;5;2
BARCHART;2018-01-25;2018M01;66;22;3;2
BARCHART;2018-01-24;2018M01;84;48;3;1
BARCHART;2018-01-23;2018M01;63;40;6;0
BARCHART;2018-01-22;2018M01;57;30;5;2
BARCHART;2018-01-21;2018M01;4;1;0;0
BARCHART;2018-01-20;2018M01;4;1;1;0
BARCHART;2018-01-19;2018M01;70;44;3;2
BARCHART;2018-01-18;2018M01;75;34;4;0
BARCHART;2018-01-17;2018M01;69;16;3;0
BARCHART;2018-01-16;2018M01;88;35;6;0
BARCHART;2018-01-15;2018M01;76;28;2;0
BARCHART;2018-01-14;2018M01;7;1;0;0
BARCHART;2018-01-13;2018M01;4;3;0;0
BARCHART;2018-01-12;2018M01;53;27;2;1
BARCHART;2018-01-11;2018M01;63;32;10;3
BARCHART;2018-01-10;2018M01;49;65;6;0
BARCHART;2018-01-09;2018M01;69;69;0;0
BARCHART;2018-01-08;2018M01;62;59;4;1
BARCHART;2018-01-07;2018M01;1;3;0;0
BARCHART;2018-01-06;2018M01;1;1;0;0
BARCHART;2018-01-05;2018M01;40;17;3;0
BARCHART;2018-01-04;2018M01;54;26;0;2
BARCHART;2018-01-03;2018M01;55;38;4;0
BARCHART;2018-01-02;2018M01;53;21;5;0
BARCHART;2018-01-01;2018M01;1;5;1;4
BARCHART;2017-12-31;2017M12;4;1;0;0
BARCHART;2017-12-30;2017M12;3;1;0;0
BARCHART;2017-12-29;2017M12;51;27;0;0
BARCHART;2017-12-28;2017M12;51;22;0;0
BARCHART;2017-12-27;2017M12;34;21;0;0
BARCHART;2017-12-26;2017M12;21;0;0;0
BARCHART;2017-12-25;2017M12;9;1;1;0
BARCHART;2017-12-24;2017M12;4;0;0;0
BARCHART;2017-12-23;2017M12;8;3;1;0
BARCHART;2017-12-22;2017M12;58;15;3;0
BARCHART;2017-12-21;2017M12;74;30;3;4
BARCHART;2017-12-20;2017M12;95;36;4;1
BARCHART;2017-12-19;2017M12;75;39;3;1
BARCHART;2017-12-18;2017M12;80;28;7;7
BARCHART;2017-12-17;2017M12;14;7;0;0
BARCHART;2017-12-16;2017M12;18;8;0;0
BARCHART;2017-12-15;2017M12;90;18;8;3
BARCHART;2017-12-14;2017M12;82;32;5;2
BARCHART;2017-12-13;2017M12;94;18;3;1
BARCHART;2017-12-12;2017M12;90;48;5;1
BARCHART;2017-12-11;2017M12;79;15;5;1
BARCHART;2017-12-10;2017M12;1;2;0;0
BARCHART;2017-12-09;2017M12;1;0;0;0
BARCHART;2017-12-08;2017M12;64;57;1;0
BARCHART;2017-12-07;2017M12;66;30;3;1
BARCHART;2017-12-06;2017M12;67;21;7;4
BARCHART;2017-12-05;2017M12;82;23;4;1
BARCHART;2017-12-04;2017M12;76;28;8;3
BARCHART;2017-12-03;2017M12;1;3;0;0
BARCHART;2017-12-02;2017M12;7;3;0;0
BARCHART;2017-12-01;2017M12;43;11;0;0
BARCHART;2017-11-30;2017M11;23;13;1;2
BARCHART;2017-11-29;2017M11;26;8;1;1
BARCHART;2017-11-28;2017M11;23;7;1;2
BARCHART;2017-11-27;2017M11;26;15;1;1
BARCHART;2017-11-26;2017M11;2;0;0;0
BARCHART;2017-11-25;2017M11;5;2;0;0
BARCHART;2017-11-24;2017M11;22;5;3;1
BARCHART;2017-11-23;2017M11;10;3;0;0
BARCHART;2017-11-22;2017M11;16;9;1;0
BARCHART;2017-11-21;2017M11;15;2;2;0
BARCHART;2017-11-20;2017M11;10;6;0;0
BARCHART;2017-11-17;2017M11;7;3;0;0
BARCHART;2017-11-16;2017M11;16;4;0;1
BARCHART;2017-11-15;2017M11;13;2;0;1
BARCHART;2017-11-14;2017M11;6;2;0;0
BARCHART;2017-11-13;2017M11;4;1;0;0
BARCHART;2017-11-11;2017M11;0;2;0;0
BARCHART;2017-11-10;2017M11;2;4;1;0
BARCHART;2017-11-09;2017M11;3;1;0;0
BARCHART;2017-11-08;2017M11;7;1;0;0
BARCHART;2017-11-07;2017M11;3;1;0;0
BARCHART;2017-11-06;2017M11;8;4;0;0
BARCHART;2017-11-04;2017M11;1;0;0;0
BARCHART;2017-11-03;2017M11;6;1;1;0
BARCHART;2017-11-02;2017M11;5;1;0;0
BARCHART;2017-11-01;2017M11;2;0;0;0
BARCHART;2017-10-31;2017M10;2;0;0;0
BARCHART;2017-10-30;2017M10;6;1;0;0
BARCHART;2017-10-27;2017M10;3;0;0;0
BARCHART;2017-10-26;2017M10;5;3;0;1
BARCHART;2017-10-25;2017M10;1;1;1;0
BARCHART;2017-10-23;2017M10;6;2;0;0
BARCHART;2017-10-22;2017M10;4;1;0;0
BARCHART;2017-10-20;2017M10;3;0;0;0
BARCHART;2017-10-19;2017M10;3;1;0;0
BARCHART;2017-10-18;2017M10;4;0;1;0
BARCHART;2017-10-17;2017M10;3;0;0;1
BARCHART;2017-10-16;2017M10;7;2;0;0
BARCHART;2017-10-14;2017M10;0;1;0;0
